w	d	t_history	r_history	delta_t	p_recall	total_cnt
Mandarin	3	0	0	1	0.7576	231
Maori	1	0	0	1	0.9048	105
Marine	3	0	0	1	0.7857	112
Marxism	1	0	0	1	0.9037	748
Marxist	1	0	0	1	0.9117	2571
May	1	0	0	1	0.8769	585
Medicaid	2	0	0	1	0.8182	198
Mediterranean	4	0	0	1	0.7374	1325
Mercedes	3	0	0	1	0.7986	139
Millennial	3	0	0	1	0.7867	286
Miss	1	0	0	1	0.9403	201
Monday	1	0	0	1	0.8958	384
Mongolian	1	0	0	1	0.8661	112
Moscow	2	0	0	1	0.8374	123
Mr	1	0	0	1	0.9619	105
Mrs	1	0	0	1	0.8592	213
Muslim	1	0	0	1	0.9182	110
NEET	1	0	0	1	0.9181	342
Nazism	1	0	0	1	0.9054	148
Neptune	4	0	0	1	0.7227	119
Norway	1	0	0	1	0.8614	101
November	2	0	0	1	0.833	964
Oceania	2	0	0	1	0.8329	724
PE	1	0	0	1	0.9607	356
Peugeot	4	0	0	1	0.7178	163
Portugal	3	0	0	1	0.7865	548
Portuguese	5	0	0	1	0.6777	121
Protestant	4	0	0	1	0.7081	185
Quaker	5	0	0	1	0.6827	104
Saturn	4	0	0	1	0.75	328
Scotland	2	0	0	1	0.8128	358
Scottish	3	0	0	1	0.7917	120
Senate	5	0	0	1	0.6973	641
September	3	0	0	1	0.7565	1035
Socratic	3	0	0	1	0.7798	109
Stonehenge	3	0	0	1	0.8	130
Swiss	2	0	0	1	0.8446	193
Switzerland	3	0	0	1	0.7945	146
Sydney	3	0	0	1	0.7589	141
Taoism	1	0	0	1	0.9067	300
Toronto	3	0	0	1	0.7789	190
Tuesday	2	0	0	1	0.8232	622
Turkey	2	0	0	1	0.8444	225
Turkish	2	0	0	1	0.8037	163
UK	1	0	0	1	0.9558	113
Utopia	2	0	0	1	0.8079	682
Wednesday	3	0	0	1	0.7555	773
Yankee	2	0	0	1	0.8333	126
abandoned	2	0	0	1	0.8034	295
abase	6	0	0	1	0.6215	650
abash	8	0	0	1	0.5385	169
abate	7	0	0	1	0.5577	1535
abatement	8	0	0	1	0.5431	267
abbreviate	4	0	0	1	0.7004	671
abdomen	5	0	0	1	0.6901	7535
aberration	8	0	0	1	0.5042	240
abeyance	9	0	0	1	0.4876	242
abhor	7	0	0	1	0.5505	821
abiding	7	0	0	1	0.5604	662
ability	3	0	0	1	0.7763	2552
abjure	10	0	0	1	0.4378	370
able	3	0	0	1	0.7996	2141
ably	4	0	0	1	0.7331	296
abnegate	10	0	0	1	0.4167	144
abnormal	2	0	0	1	0.8464	4461
abnormality	4	0	0	1	0.7138	283
abolish	5	0	0	1	0.6827	10826
abolition	4	0	0	1	0.75	1644
abominate	9	0	0	1	0.4891	184
abortion	6	0	0	1	0.6241	3384
above	4	0	0	1	0.7429	3279
aboveboard	3	0	0	1	0.7631	325
abrasion	7	0	0	1	0.5516	223
abrasive	7	0	0	1	0.5558	448
abreast	6	0	0	1	0.6312	3159
abroad	2	0	0	1	0.8109	4664
abrupt	8	0	0	1	0.5425	11745
abscess	8	0	0	1	0.52	100
abscond	10	0	0	1	0.424	217
absent	4	0	0	1	0.7245	5253
absenteeism	5	0	0	1	0.6787	803
absolute	6	0	0	1	0.6191	8058
absolutely	6	0	0	1	0.6297	2139
absolve	9	0	0	1	0.4506	830
absorb	6	0	0	1	0.6378	8514
absorbing	3	0	0	1	0.7752	129
abstain	10	0	0	1	0.4201	1271
abstemious	9	0	0	1	0.4943	174
abstinence	10	0	0	1	0.3742	449
abstract	7	0	0	1	0.586	12651
abstruse	9	0	0	1	0.457	442
absurdity	6	0	0	1	0.6427	431
abundance	4	0	0	1	0.739	2345
abuse	5	0	0	1	0.6939	10802
abusive	4	0	0	1	0.7378	1270
abyss	6	0	0	1	0.6117	631
academically	3	0	0	1	0.7625	240
academician	3	0	0	1	0.7695	1193
academics	4	0	0	1	0.7065	293
academy	3	0	0	1	0.7623	7525
accelerate	6	0	0	1	0.6103	9692
accelerated	4	0	0	1	0.7238	105
accent	6	0	0	1	0.613	7607
acceptable	5	0	0	1	0.6829	1744
accessibility	3	0	0	1	0.7508	1312
accession	9	0	0	1	0.4631	555
accessory	9	0	0	1	0.4788	7863
accidental	4	0	0	1	0.7203	1727
accidentally	5	0	0	1	0.6667	342
acclaim	6	0	0	1	0.6099	9867
acclimatize	5	0	0	1	0.6978	139
accommodation	6	0	0	1	0.6312	6343
accommodations	3	0	0	1	0.7699	1521
accompaniment	4	0	0	1	0.7453	212
accompanist	2	0	0	1	0.8483	145
accomplice	7	0	0	1	0.5858	676
accomplish	5	0	0	1	0.6948	7454
accomplished	3	0	0	1	0.7951	122
accord	7	0	0	1	0.5853	8485
accordance	6	0	0	1	0.6298	5575
accordant	10	0	0	1	0.4324	451
accordion	7	0	0	1	0.5542	480
accost	9	0	0	1	0.451	255
accountant	4	0	0	1	0.749	5868
accrete	10	0	0	1	0.4395	157
accumulate	6	0	0	1	0.6045	9854
accumulative	5	0	0	1	0.6584	445
accuracy	7	0	0	1	0.5789	7817
accurate	8	0	0	1	0.5474	9555
accurately	5	0	0	1	0.6963	698
accusation	7	0	0	1	0.579	3271
accuser	4	0	0	1	0.71	100
accustom	5	0	0	1	0.6728	6778
accustomed	6	0	0	1	0.6355	4900
ace	4	0	0	1	0.7003	2059
achieve	6	0	0	1	0.6453	3293
acme	5	0	0	1	0.6921	302
acolyte	9	0	0	1	0.4615	143
acoustic	8	0	0	1	0.5235	913
acquaint	8	0	0	1	0.5405	8613
acquiesce	10	0	0	1	0.4413	596
acquisition	7	0	0	1	0.5546	9961
acquisitive	7	0	0	1	0.5733	457
acre	4	0	0	1	0.7109	8175
acreage	4	0	0	1	0.7334	949
acrid	5	0	0	1	0.6713	143
acrimonious	9	0	0	1	0.4844	192
acrobat	10	0	0	1	0.4456	3835
acrobatics	9	0	0	1	0.4545	121
acronym	7	0	0	1	0.5554	614
act	3	0	0	1	0.761	2874
action	2	0	0	1	0.8252	1756
activate	5	0	0	1	0.6992	5465
actively	2	0	0	1	0.812	117
activity	3	0	0	1	0.7782	1713
actuality	1	0	0	1	0.8553	235
acumen	6	0	0	1	0.6449	1239
acupuncture	8	0	0	1	0.5412	2546
adamant	10	0	0	1	0.3958	763
adaptation	5	0	0	1	0.6987	2058
adapter	2	0	0	1	0.8117	154
addict	5	0	0	1	0.6769	6036
addictive	4	0	0	1	0.7122	1192
addition	3	0	0	1	0.7787	4581
additional	3	0	0	1	0.7674	4588
additionally	5	0	0	1	0.6954	151
address	3	0	0	1	0.7723	3931
adduce	9	0	0	1	0.4669	362
adequacy	7	0	0	1	0.5978	731
adequate	9	0	0	1	0.4746	11161
adequately	5	0	0	1	0.663	1196
adhere	5	0	0	1	0.6543	9144
adherence	5	0	0	1	0.6782	1675
adherent	6	0	0	1	0.6473	292
adjoin	5	0	0	1	0.6892	3526
adjourn	10	0	0	1	0.4354	751
adjunct	10	0	0	1	0.4405	865
adjust	5	0	0	1	0.6773	5525
adjustable	6	0	0	1	0.6346	364
administration	6	0	0	1	0.6483	9025
administrative	4	0	0	1	0.7264	2880
administrator	4	0	0	1	0.7406	1168
admiral	7	0	0	1	0.5781	320
admission	5	0	0	1	0.6585	6401
admittance	5	0	0	1	0.6649	1149
admittedly	7	0	0	1	0.5767	1148
ado	8	0	0	1	0.5498	422
adolescence	4	0	0	1	0.7421	1896
adoption	3	0	0	1	0.7914	997
adoptive	3	0	0	1	0.7672	1177
adorable	5	0	0	1	0.6739	463
adornment	7	0	0	1	0.584	2029
adroit	10	0	0	1	0.3645	653
adulate	7	0	0	1	0.5954	131
adulation	9	0	0	1	0.4739	268
adulterate	7	0	0	1	0.5997	637
adultery	4	0	0	1	0.738	313
adulthood	1	0	0	1	0.8924	1719
advance	6	0	0	1	0.6139	6641
advantage	5	0	0	1	0.6608	3948
advantageous	4	0	0	1	0.7023	1404
advent	8	0	0	1	0.5075	7846
adventurer	3	0	0	1	0.7832	286
adventurous	5	0	0	1	0.6919	1068
adverb	3	0	0	1	0.7517	3894
adversarial	7	0	0	1	0.558	681
adverse	8	0	0	1	0.5112	9268
adversity	8	0	0	1	0.5259	1795
advert	5	0	0	1	0.6609	233
advertise	4	0	0	1	0.702	5476
advertisement	3	0	0	1	0.7671	3405
advise	4	0	0	1	0.7266	2538
advisor	4	0	0	1	0.7064	814
advocacy	5	0	0	1	0.677	1650
aegis	10	0	0	1	0.4133	196
aeration	8	0	0	1	0.5201	423
aerial	5	0	0	1	0.6726	8715
aerobic	8	0	0	1	0.5347	1311
aerodynamics	2	0	0	1	0.802	197
aeroplane	1	0	0	1	0.923	2612
aerospace	2	0	0	1	0.8335	793
aesthetic	6	0	0	1	0.6063	7366
aesthetics	4	0	0	1	0.7058	809
affable	8	0	0	1	0.5373	778
affairs	3	0	0	1	0.7845	116
affection	7	0	0	1	0.584	7504
affectionate	7	0	0	1	0.5931	2947
affiliated	6	0	0	1	0.6277	564
affiliation	9	0	0	1	0.4961	2312
affinity	8	0	0	1	0.5188	1008
affirmation	4	0	0	1	0.7418	1065
affix	6	0	0	1	0.6451	1327
affliction	8	0	0	1	0.5166	211
affluence	5	0	0	1	0.6959	993
afford	6	0	0	1	0.6479	5583
affordability	1	0	0	1	0.8555	346
affordable	2	0	0	1	0.8361	1458
afloat	3	0	0	1	0.7749	1746
afoot	3	0	0	1	0.7739	261
aforementioned	4	0	0	1	0.7184	245
afoul	10	0	0	1	0.4142	169
afresh	3	0	0	1	0.7688	320
aftereffect	1	0	0	1	0.8852	122
aftermath	4	0	0	1	0.746	6751
afternoon	1	0	0	1	0.9068	322
aftershock	3	0	0	1	0.7989	184
again	4	0	0	1	0.7351	891
age	3	0	0	1	0.7998	879
aged	1	0	0	1	0.9195	236
ageing	1	0	0	1	0.8887	503
aggrandize	5	0	0	1	0.6984	189
aggregate	9	0	0	1	0.4609	6780
aggregation	7	0	0	1	0.5656	1220
aggress	6	0	0	1	0.6486	313
aggressive	7	0	0	1	0.5624	10773
aggressively	4	0	0	1	0.7265	903
aggressiveness	3	0	0	1	0.7924	785
agnostic	10	0	0	1	0.4354	333
ago	2	0	0	1	0.8324	1271
agonize	8	0	0	1	0.5179	1033
agonizing	7	0	0	1	0.5675	763
agoraphobic	5	0	0	1	0.6667	135
agrarian	5	0	0	1	0.68	200
agreeable	4	0	0	1	0.714	3433
agreement	4	0	0	1	0.7332	1574
agricultural	4	0	0	1	0.7193	3071
aground	3	0	0	1	0.7839	199
aide	7	0	0	1	0.5868	2638
ailing	7	0	0	1	0.5809	241
ailment	8	0	0	1	0.509	1499
aim	4	0	0	1	0.7486	2979
aircraft	2	0	0	1	0.8485	5434
airforce	1	0	0	1	0.9159	107
airily	5	0	0	1	0.6667	123
airplane	1	0	0	1	0.9497	437
airport	1	0	0	1	0.8866	1569
airspace	1	0	0	1	0.8649	459
airstrip	4	0	0	1	0.7196	214
airtight	3	0	0	1	0.7827	796
airway	1	0	0	1	0.8582	275
ajar	7	0	0	1	0.5931	317
akin	7	0	0	1	0.565	1777
alacrity	8	0	0	1	0.5352	142
alarm	5	0	0	1	0.6754	4793
alas	4	0	0	1	0.7429	210
albeit	9	0	0	1	0.4651	5732
alchemist	4	0	0	1	0.7297	492
alcoholism	2	0	0	1	0.8432	185
ale	8	0	0	1	0.5458	1048
alert	8	0	0	1	0.5308	11899
algorithm	8	0	0	1	0.5347	6304
alibi	9	0	0	1	0.4987	399
alien	4	0	0	1	0.7084	5669
alight	3	0	0	1	0.751	731
align	8	0	0	1	0.5311	7660
alimony	9	0	0	1	0.4561	285
alive	2	0	0	1	0.8387	2982
allay	9	0	0	1	0.4901	1822
allegation	9	0	0	1	0.4506	6239
allege	9	0	0	1	0.4637	8561
allegedly	10	0	0	1	0.4403	1558
allegory	9	0	0	1	0.4932	442
allergy	7	0	0	1	0.5828	779
alleviation	6	0	0	1	0.6276	2535
alliance	7	0	0	1	0.562	8021
allocate	8	0	0	1	0.537	9168
allotment	7	0	0	1	0.5891	640
allure	6	0	0	1	0.6246	2155
allurement	7	0	0	1	0.5961	255
allusion	8	0	0	1	0.5234	1303
alluvial	10	0	0	1	0.4106	699
ally	6	0	0	1	0.6006	7797
almanac	10	0	0	1	0.4061	229
almond	7	0	0	1	0.5672	670
aloof	8	0	0	1	0.5426	634
alphabet	3	0	0	1	0.7668	5631
alphabetically	1	0	0	1	0.8576	1903
alphabetism	1	0	0	1	0.8592	1307
already	3	0	0	1	0.7535	1765
alter	7	0	0	1	0.5805	11431
alteration	5	0	0	1	0.6502	912
alternate	7	0	0	1	0.5599	5901
alternation	7	0	0	1	0.596	896
alternatively	5	0	0	1	0.6952	607
altruism	6	0	0	1	0.602	304
am	1	0	0	1	0.8652	267
amalgam	8	0	0	1	0.5465	172
amalgamate	9	0	0	1	0.4781	456
amalgamation	7	0	0	1	0.5714	119
amaze	1	0	0	1	0.8704	1551
amazed	1	0	0	1	0.8915	129
ambassadress	3	0	0	1	0.7979	584
amber	5	0	0	1	0.6892	576
ambient	10	0	0	1	0.4251	167
ambiguous	7	0	0	1	0.5736	9662
ambition	4	0	0	1	0.7084	4637
amenities	8	0	0	1	0.5496	131
amiable	8	0	0	1	0.531	7740
ammunition	10	0	0	1	0.4019	1453
amnesty	10	0	0	1	0.3647	595
among	4	0	0	1	0.7127	3073
ampere	3	0	0	1	0.8	220
amphibian	7	0	0	1	0.562	806
amphibious	8	0	0	1	0.5231	541
ample	6	0	0	1	0.6028	10126
amplifier	4	0	0	1	0.7014	1999
amused	7	0	0	1	0.5674	178
amusement	5	0	0	1	0.696	1513
amygdala	10	0	0	1	0.4324	111
an	1	0	0	1	0.9333	240
anachronistic	10	0	0	1	0.4406	143
analogous	7	0	0	1	0.5919	2083
analogy	8	0	0	1	0.5426	6999
analyse	4	0	0	1	0.7468	1576
analyst	2	0	0	1	0.8227	2560
analytic	2	0	0	1	0.8484	1768
analytical	2	0	0	1	0.8194	1966
analytics	1	0	0	1	0.8506	154
analyze	3	0	0	1	0.7742	2578
anarchic	8	0	0	1	0.5018	273
anarchist	5	0	0	1	0.6865	319
anarchy	10	0	0	1	0.4389	540
ancestor	4	0	0	1	0.7102	6169
ancestral	3	0	0	1	0.792	1293
anchor	9	0	0	1	0.4778	10336
anchorman	4	0	0	1	0.7247	178
anchorwoman	1	0	0	1	0.8532	109
and	1	0	0	1	0.8904	146
anecdote	8	0	0	1	0.5131	8080
anew	1	0	0	1	0.8579	2005
angel	2	0	0	1	0.8379	1123
anger	2	0	0	1	0.8117	1694
angle	4	0	0	1	0.749	5047
angry	3	0	0	1	0.7612	1269
animal	3	0	0	1	0.7789	796
animate	6	0	0	1	0.6058	2103
animus	8	0	0	1	0.5288	295
ankle	3	0	0	1	0.7626	4634
annals	4	0	0	1	0.7143	294
anneal	10	0	0	1	0.38	100
annihilate	10	0	0	1	0.3785	539
annotate	7	0	0	1	0.5542	240
annoyance	5	0	0	1	0.6997	646
annoyed	3	0	0	1	0.7941	442
annoying	3	0	0	1	0.7781	374
annualized	6	0	0	1	0.6139	101
annuity	7	0	0	1	0.5583	283
annul	8	0	0	1	0.5271	535
anodyne	10	0	0	1	0.3179	151
anomalous	7	0	0	1	0.6	265
anonymity	7	0	0	1	0.5847	1835
anonymously	5	0	0	1	0.6508	126
another	4	0	0	1	0.7335	1332
ant	2	0	0	1	0.8483	1754
antagonist	7	0	0	1	0.5967	858
antagonistic	10	0	0	1	0.3977	1491
antagonistically	7	0	0	1	0.5648	216
antagonize	7	0	0	1	0.5568	361
antedate	3	0	0	1	0.7763	152
antelope	7	0	0	1	0.5537	587
anthology	7	0	0	1	0.5679	449
anthropogenic	4	0	0	1	0.748	127
anthropological	3	0	0	1	0.7816	1575
anthropologist	3	0	0	1	0.759	4626
anthropology	4	0	0	1	0.7217	4804
anti	3	0	0	1	0.7915	259
antibacterial	2	0	0	1	0.84	125
antibiotic	6	0	0	1	0.6185	2341
antibiotics	5	0	0	1	0.6825	211
anticipate	9	0	0	1	0.4665	11734
anticlockwise	1	0	0	1	0.8816	152
antigravity	2	0	0	1	0.8033	244
antipoverty	1	0	0	1	0.8769	130
antismoking	1	0	0	1	0.927	178
antithesis	6	0	0	1	0.6423	260
antithetical	6	0	0	1	0.6124	178
anus	4	0	0	1	0.7115	208
anxiety	4	0	0	1	0.707	5491
anxiously	6	0	0	1	0.6418	134
any	3	0	0	1	0.7727	893
anybody	1	0	0	1	0.8915	424
anyhow	1	0	0	1	0.9152	1321
anyone	1	0	0	1	0.8991	456
anything	1	0	0	1	0.8878	303
anywhere	1	0	0	1	0.8931	580
apace	5	0	0	1	0.6949	1144
apart	4	0	0	1	0.7452	6652
apartheid	9	0	0	1	0.4854	410
apartment	3	0	0	1	0.7542	4792
apathetic	10	0	0	1	0.4119	335
apathy	6	0	0	1	0.6062	673
ape	7	0	0	1	0.5709	5010
aperture	10	0	0	1	0.3384	461
apex	4	0	0	1	0.732	362
aphid	7	0	0	1	0.5764	805
aphorism	9	0	0	1	0.4795	171
apiece	2	0	0	1	0.8239	284
aplomb	10	0	0	1	0.375	104
apogee	8	0	0	1	0.5315	111
apologetic	2	0	0	1	0.832	363
apoplectic	9	0	0	1	0.4636	110
app	1	0	0	1	0.9767	129
apparatus	10	0	0	1	0.4001	8581
apparent	6	0	0	1	0.6328	8043
apparently	7	0	0	1	0.5996	3824
appeal	7	0	0	1	0.5948	10109
appealing	5	0	0	1	0.6621	956
appeasement	6	0	0	1	0.6042	283
appetite	9	0	0	1	0.4722	10195
appetizer	5	0	0	1	0.661	118
applaud	5	0	0	1	0.6638	6858
applause	5	0	0	1	0.6723	4526
applicant	4	0	0	1	0.74	6411
applied	4	0	0	1	0.7387	222
apportion	6	0	0	1	0.6117	618
apposite	7	0	0	1	0.5821	347
appreciable	8	0	0	1	0.5277	451
appreciation	5	0	0	1	0.684	2503
apprehension	5	0	0	1	0.6557	424
apprentice	10	0	0	1	0.4302	1848
apprenticeship	8	0	0	1	0.5459	643
appropriate	9	0	0	1	0.487	10304
appropriation	9	0	0	1	0.4901	604
approval	6	0	0	1	0.6464	5422
approve	7	0	0	1	0.5919	7314
approximately	6	0	0	1	0.6312	5144
apricot	9	0	0	1	0.4667	315
apt	8	0	0	1	0.539	6917
aptitude	8	0	0	1	0.5329	3710
aptly	4	0	0	1	0.727	326
aquatic	8	0	0	1	0.5414	761
aqueduct	10	0	0	1	0.3942	104
arbiter	8	0	0	1	0.5195	2335
arbitration	8	0	0	1	0.5036	548
arc	4	0	0	1	0.7311	1625
arcade	8	0	0	1	0.5276	743
arcane	9	0	0	1	0.4601	213
arch	7	0	0	1	0.5716	5280
archaeological	4	0	0	1	0.7084	2980
archaeologist	3	0	0	1	0.7502	3162
archaeology	3	0	0	1	0.7508	3038
archaic	8	0	0	1	0.5116	1245
archbishop	5	0	0	1	0.6591	220
archeological	2	0	0	1	0.8442	199
archeologist	3	0	0	1	0.7924	684
archeology	3	0	0	1	0.7539	2597
archer	4	0	0	1	0.7026	232
archetype	3	0	0	1	0.7983	362
architect	5	0	0	1	0.6615	8004
architectural	2	0	0	1	0.8262	581
archive	9	0	0	1	0.4789	8654
arctic	7	0	0	1	0.5968	625
ardently	9	0	0	1	0.4686	239
are	2	0	0	1	0.8367	245
argue	5	0	0	1	0.6567	4294
argumentation	3	0	0	1	0.7525	299
aria	6	0	0	1	0.6197	213
arid	9	0	0	1	0.4561	1309
armament	6	0	0	1	0.6472	1145
armchair	1	0	0	1	0.8846	598
armed	4	0	0	1	0.7431	327
armor	4	0	0	1	0.7107	1490
armoury	5	0	0	1	0.6741	135
armpit	3	0	0	1	0.7627	236
aroma	7	0	0	1	0.5646	1261
around	3	0	0	1	0.7523	2035
arousal	6	0	0	1	0.6292	917
arrears	10	0	0	1	0.4286	357
arrest	8	0	0	1	0.5445	10037
arrival	1	0	0	1	0.868	1083
arsenal	9	0	0	1	0.4564	493
arson	7	0	0	1	0.5803	1177
art	2	0	0	1	0.8153	1034
artery	9	0	0	1	0.4683	6756
artful	5	0	0	1	0.6933	326
arthritis	9	0	0	1	0.4802	2122
articulation	7	0	0	1	0.5981	311
artifice	9	0	0	1	0.4869	610
artificial	5	0	0	1	0.6987	10317
artistic	1	0	0	1	0.8865	1806
artistically	2	0	0	1	0.8468	333
artless	4	0	0	1	0.7025	121
arts	1	0	0	1	0.8708	209
ascend	6	0	0	1	0.6263	6433
ascendance	7	0	0	1	0.5826	218
ascetic	10	0	0	1	0.4184	423
aside	1	0	0	1	0.8508	2923
ask	3	0	0	1	0.7571	984
aspen	5	0	0	1	0.6721	122
aspersion	10	0	0	1	0.3841	164
asphalt	10	0	0	1	0.4286	287
assail	8	0	0	1	0.531	484
assailant	6	0	0	1	0.6429	154
assassination	5	0	0	1	0.676	574
assault	9	0	0	1	0.498	8631
assemblyman	7	0	0	1	0.5877	114
assert	9	0	0	1	0.4927	9948
assertive	8	0	0	1	0.5038	1040
asset	8	0	0	1	0.5277	11637
assiduous	9	0	0	1	0.4695	705
assign	7	0	0	1	0.5769	11670
assignment	6	0	0	1	0.6049	7317
assimilation	6	0	0	1	0.6172	3435
assist	4	0	0	1	0.7099	6373
assistance	4	0	0	1	0.7015	3826
association	7	0	0	1	0.5792	7313
associative	5	0	0	1	0.6685	184
assorted	7	0	0	1	0.5946	1364
assortment	6	0	0	1	0.6221	1196
assuage	10	0	0	1	0.4202	2506
assuming	4	0	0	1	0.7468	158
assumption	7	0	0	1	0.5708	7984
assurance	4	0	0	1	0.7339	3198
asterisk	7	0	0	1	0.5845	349
astonish	7	0	0	1	0.5951	6711
astonishing	5	0	0	1	0.6864	2181
astonishment	5	0	0	1	0.6845	523
astounding	4	0	0	1	0.7364	110
astral	5	0	0	1	0.7	210
astringent	10	0	0	1	0.4365	126
astrological	6	0	0	1	0.6239	1760
astronomy	4	0	0	1	0.7157	7447
astrophysicist	2	0	0	1	0.8213	649
astute	8	0	0	1	0.5168	505
asylum	10	0	0	1	0.3876	1739
ate	1	0	0	1	0.8683	167
atheist	5	0	0	1	0.6932	251
athlete	4	0	0	1	0.7331	5841
atmospheric	2	0	0	1	0.8107	1321
atrocious	10	0	0	1	0.3522	673
attach	6	0	0	1	0.6226	8940
attached	4	0	0	1	0.7483	147
attaché	9	0	0	1	0.4949	196
attack	5	0	0	1	0.6999	5319
attainable	7	0	0	1	0.5841	803
attempt	7	0	0	1	0.5825	7367
attendance	4	0	0	1	0.7269	2157
attendee	2	0	0	1	0.8177	192
attentive	7	0	0	1	0.5789	2382
attentively	6	0	0	1	0.6091	197
attest	5	0	0	1	0.6983	653
attic	10	0	0	1	0.434	2357
attorney	9	0	0	1	0.4575	10592
attractive	5	0	0	1	0.6958	3083
attractiveness	2	0	0	1	0.8342	368
attributive	9	0	0	1	0.4778	743
attrition	9	0	0	1	0.4868	417
attune	8	0	0	1	0.5124	1487
atypical	3	0	0	1	0.8	110
auction	8	0	0	1	0.5376	8294
audacious	10	0	0	1	0.3703	1261
audience	5	0	0	1	0.6594	6245
audio	2	0	0	1	0.8272	3524
audiophile	6	0	0	1	0.6182	165
auditing	4	0	0	1	0.7033	209
auditor	5	0	0	1	0.6669	3506
auditorium	7	0	0	1	0.5908	6769
augment	9	0	0	1	0.4849	8671
augmentation	6	0	0	1	0.6235	247
aunt	1	0	0	1	0.852	1987
auntie	1	0	0	1	0.8676	370
aurora	4	0	0	1	0.7378	164
auspicious	9	0	0	1	0.4748	695
austere	10	0	0	1	0.4304	546
austerity	10	0	0	1	0.4129	264
authentic	9	0	0	1	0.4952	11341
authenticity	6	0	0	1	0.6012	855
authorise	6	0	0	1	0.6368	1407
authoritarian	5	0	0	1	0.6525	259
authoritative	5	0	0	1	0.6711	1268
authorities	4	0	0	1	0.7448	239
authorization	5	0	0	1	0.6864	727
autism	10	0	0	1	0.3609	654
autobiographic	2	0	0	1	0.8281	192
autobiography	3	0	0	1	0.7737	4362
autocracy	4	0	0	1	0.713	108
autoimmune	2	0	0	1	0.8132	257
automatic	4	0	0	1	0.7283	4019
automatically	5	0	0	1	0.6814	2439
autonomous	6	0	0	1	0.6113	3131
autopsy	9	0	0	1	0.4843	382
autotransformer	5	0	0	1	0.6927	358
autumn	3	0	0	1	0.7734	2657
avalanche	9	0	0	1	0.4598	5563
avarice	7	0	0	1	0.6	220
avatar	6	0	0	1	0.6481	108
avenge	4	0	0	1	0.7042	1369
averse	10	0	0	1	0.4429	3969
aversion	9	0	0	1	0.4504	2147
aviation	8	0	0	1	0.5006	8879
avocation	6	0	0	1	0.6496	137
avoid	6	0	0	1	0.6174	3285
awake	2	0	0	1	0.8256	2294
awareness	5	0	0	1	0.6951	2899
away	4	0	0	1	0.7375	1783
awe	6	0	0	1	0.6127	6298
awesome	6	0	0	1	0.6216	2328
awful	5	0	0	1	0.6643	5636
awkward	7	0	0	1	0.6	8749
ax	3	0	0	1	0.7908	4044
axe	4	0	0	1	0.7489	4206
axis	5	0	0	1	0.6706	6303
baboon	4	0	0	1	0.7124	153
baby	1	0	0	1	0.9514	144
backbreaking	3	0	0	1	0.7733	247
